অআকখ	প্রাথমিক জ্ঞান
অকটবিকট	ছটফটানি
অকর্মার ধাড়ি	একেবারে অকেজো, অত্যন্ত অলস ব্যক্তি
অকালকুষ্মাণ্ড	অপদার্থ/ অকেজো
অকালপক্ব	ডেপো, বয়সের তুলনায় বেশি পাকা
অকালসন্ধ্যা	সময়ের আগেই কষ্টের শুরু
অকালে বাদল	অপ্রত্যাশিত বাধা
অকুস্থল	যে কোন ঘটনার স্থান
অকূল দরিয়া/পাথর	ভীষণ বিপদ
অকূলে কূল পাওয়া	নিরুপায় অবস্থা থেকে উদ্ধার পাওয়া
অকূলে পড়া	বিপদে পড়া
অকূলে/অকূল পাথরে ভাসা	বিপদে দিশেহারা হওয়া
অকূলের কূল	বিপদে ত্রাণকর্তা/রক্ষাকর্তা
অকূলের ভেলা	একান্ত নিরুপায় অবস্থার অবলম্বন
অক্কা পাওয়া/অক্কাপ্রাপ্তি	মারা যাওয়া/মৃত্যু
অক্ষয়বট	অতিবৃদ্ধ ব্যক্তি
অক্ষরে অক্ষরে	সম্পূর্ণভাবে
অখাদ্যে অবাদ্যে	অপদার্থ/ অকর্মণ্য
অগতির গতি	ঈশ্বর/অসহায়ের শেষ অবলম্বন
অগস্ত্যযাত্রা	চিরদিনের জন্য বিদায়/মৃত্যু
অগাধ জল/সমুদ্র	চরম বিপদে
অগাধ জলের মাছ	সুচতুর ব্যক্তি/চালাক ব্যক্তি
অগ্নিচক্ষু	কঠোর দৃষ্টি
অগ্নিপরীক্ষা	কঠিন পরীক্ষা
অগ্নিমূল্য	চড়া মূল্য/বেশি দাম
অগ্নিতে ঘৃতাহুতি	উত্তেজনা/ক্রোধবৃদ্ধি
অগ্নিতে বারি বর্ষণ	উত্তেজনা/ক্রোধ কমে যাওয়া
অগ্নিশর্মা	খুব রাগান্বিত
অঙ্কুরে বিনষ্ট	শুরুতেই শেষ
অঙ্গন জল হওয়া	ভয় পাওয়া
অঙ্গুলি হেলন	আঙুল নেড়ে ইশারা/নির্দেশ
অচলায়তন	যেখানে অগ্রগতি নেই
অজমূর্খ	নিরেট বোকা
অজগরবৃত্তি	আলসেমি
অজগ্রাম/অজপাড়া/অজপাড়াগ্রাম/অজপাড়াগাঁ	নিতান্ত ক্ষুদ্র/ অপরিচিত পল্লী
অজাতশত্রু	যার শত্রু নাই
অজাতশ্মশ্রু	 অল্পবয়সী
অথৈ জল	ভীষণ বিপদ/ বিপদে দিশেহারা
অথৈ জলের মাছ	সুচতুর ব্যক্তি/চাপা স্বভাবের লোক
অদৃষ্টের কিল	ভাগ্যের মার
